,user_id,for_user,limiting_member,CROSTACEI_E_MOLLUSCHI,FUNGHI,FORMAGGI,VERDURE,PESCE,RISO,PASTA,INTERIORA,LEGUMI,TORTELLINI,GNOCCHI,CARNE,PIZZA,SALUMI,revision_number,avialble_before,avialble_after,user_available_before,user_available_after,time
23,14661,17518,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,8.0,8.0,2023-06-19 15:16:32
117,14713,18794,bytearray(b'0'),0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,26,27,26.0,27.0,2023-06-20 11:33:23
223,14659,16051,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,8,24,7,7,,,
167,14706,17048,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,,,
88,14719,14719,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,7,-1.0,7.0,2023-06-19 12:00:40
116,14713,18794,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,27.0,27.0,2023-06-20 11:33:23
54,14693,17812,bytearray(b'0'),0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,17,18,17.0,17.0,2023-06-19 18:43:09
207,14708,16922,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,7,7,,,
56,14693,17811,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,22,22,22.0,22.0,2023-06-19 18:43:51
92,14719,16753,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-19 12:11:12
153,14738,19342,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,28,27.0,27.0,2023-06-20 16:39:51
139,14738,19309,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,27,-1.0,27.0,2023-06-20 16:26:12
208,14708,16923,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,,,
72,14710,14710,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,30,30.0,30.0,2023-06-16 13:23:24
173,14706,17051,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,,,
3,14720,14720,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,11,4.0,4.0,2023-06-16 11:08:47
197,14708,14708,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,27,30,,,
22,14661,17518,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,8.0,8.0,2023-06-19 15:16:13
107,14719,18264,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-20 00:20:11
200,14708,16922,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,7,-1,7,,,
57,14691,17993,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,4,-1.0,4.0,2023-06-19 21:33:32
219,14690,17430,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,7,-1,7,,,
45,14806,17591,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,24.0,24.0,2023-06-19 16:01:10
106,14719,18264,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-20 00:19:59
162,14911,16868,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,10,10,,,
65,14710,14710,bytearray(b'1'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,30,30.0,30.0,2023-06-16 13:22:50
169,14706,17050,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,,,
161,14911,16868,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,10,10,,,
112,14713,18793,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,24,26,24.0,26.0,2023-06-20 11:33:09
111,14719,18667,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,7,7.0,7.0,2023-06-20 09:49:20
217,14708,17148,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,,,
82,14662,18705,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,7.0,7.0,2023-06-20 10:30:08
28,14661,14661,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,4.0,11.0,2023-06-19 15:17:03
180,14717,17251,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,10,10,,,
230,14657,16046,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,,,
201,14708,16921,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,-1,7,,,
58,14691,17994,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,-1.0,6.0,2023-06-19 21:33:32
171,14706,17051,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,,,
209,14708,17041,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,31,24,-1,24,,,
138,14771,17444,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,27.0,27.0,2023-06-19 15:02:12
239,14657,17685,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,24,24,24,,,
4,14720,14720,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,11,30,4.0,4.0,2023-06-16 11:08:53
127,14672,14672,bytearray(b'1'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4.0,4.0,2023-06-20 11:54:40
80,14662,18706,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,24.0,24.0,2023-06-20 10:29:55
78,14662,18707,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,24.0,24.0,2023-06-20 10:29:42
237,14657,17684,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,,,
20,14661,17518,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,8.0,8.0,2023-06-19 15:15:52
77,14662,18706,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,24.0,24.0,2023-06-20 10:29:42
164,14911,16868,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,10,10,,,
130,14672,14672,bytearray(b'1'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3.0,4.0,2023-06-20 12:36:47
144,14738,19310,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,24,-1.0,24.0,2023-06-20 16:26:58
174,14706,17051,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,,,
109,14719,18264,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-20 00:21:33
152,14738,19345,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,28,27.0,28.0,2023-06-20 16:39:51
21,14661,17518,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,8.0,8.0,2023-06-19 15:16:02
231,14657,16046,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,24,24,24,,,
89,14719,16742,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,7,7.0,7.0,2023-06-19 12:03:20
141,14738,19311,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,26,-1.0,26.0,2023-06-20 16:26:42
198,14708,14708,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,,,
108,14719,18264,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-20 00:21:10
155,14738,19344,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,28,27.0,27.0,2023-06-20 16:40:07
36,14806,17590,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,27,24.0,-1.0,2023-06-19 15:50:00
103,14719,16742,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-19 12:12:28
69,14710,16253,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,27.0,27.0,2023-06-16 13:23:03
224,14659,16051,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,7,7,,,
142,14738,19309,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,28,27.0,27.0,2023-06-20 16:26:58
19,14661,17313,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,10,7.0,7.0,2023-06-19 14:19:57
215,14708,17036,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,8,24,,,
67,14710,16253,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,27.0,27.0,2023-06-16 13:23:03
229,14657,16045,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,24,24,24,,,
26,14661,17516,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,11,10.0,10.0,2023-06-19 15:17:02
190,14708,16870,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,,,
184,14708,16871,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,,,
163,14911,16868,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,10,10,,,
35,14806,17589,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,4.0,4.0,2023-06-19 15:49:27
5,14720,16112,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,24.0,24.0,2023-06-16 11:09:28
27,14661,17518,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,10,27,10.0,10.0,2023-06-19 15:17:03
156,14738,19343,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,22,-1.0,22.0,2023-06-20 16:40:07
210,14708,17041,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,24,24,,,
233,14657,17659,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,,,
8,14748,14748,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11,11.0,11.0,2023-06-16 15:39:07
43,14806,17591,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,4,-1.0,4.0,2023-06-19 15:59:22
34,14806,17589,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,27,4.0,4.0,2023-06-19 15:49:17
41,14806,17590,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,27,7.0,-1.0,2023-06-19 15:52:50
238,14657,17685,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,,,
177,14706,17051,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,,,
11,14660,16536,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,8,8,8.0,8.0,2023-06-18 20:48:27
242,14657,17762,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,11,8,-1,8,,,
154,14738,19343,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,28,22.0,22.0,2023-06-20 16:40:07
37,14806,17590,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,27,27,-1.0,27.0,2023-06-19 15:50:10
71,14710,14710,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,30,31.0,30.0,2023-06-16 13:23:17
128,14672,18816,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,24,4.0,24.0,2023-06-20 11:54:54
129,14672,18816,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,24,24,24.0,24.0,2023-06-20 11:54:54
10,14660,16535,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,8,8,8.0,8.0,2023-06-18 20:48:16
125,14672,18816,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,4,-1.0,4.0,2023-06-20 11:54:13
48,14806,17591,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,24.0,24.0,2023-06-19 16:01:20
218,14690,17428,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,28,24,-1,24,,,
38,14806,17590,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,27.0,-1.0,2023-06-19 15:50:38
126,14672,18816,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,24,7.0,-1.0,2023-06-20 11:54:40
135,14672,19066,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,4,4.0,4.0,2023-06-20 14:53:19
75,14710,17561,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,30,18.0,18.0,2023-06-19 15:36:14
118,14713,18793,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,8,24,8.0,24.0,2023-06-20 11:33:37
2,14720,14720,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,11,30,4.0,4.0,2023-06-16 11:04:04
194,14708,16869,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,24,24,,,
183,14708,16871,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,,,
172,14706,17051,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,24,24,24,,,
236,14657,17684,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,24,24,24,,,
90,14719,16747,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,7,7.0,7.0,2023-06-19 12:04:41
159,14707,16687,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,,,
227,14659,17576,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,8,24,8,24,,,
79,14662,18708,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,7.0,7.0,2023-06-20 10:29:42
17,14906,16653,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,19,19.0,19.0,2023-06-19 11:02:51
122,14672,18818,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,7.0,7.0,2023-06-20 11:53:25
53,14693,17808,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,17,11.0,11.0,2023-06-19 18:42:37
168,14706,17049,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,,,
68,14710,14710,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,31,31.0,31.0,2023-06-16 13:23:03
39,14806,17590,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,27,5.0,-1.0,2023-06-19 15:50:40
24,14661,17518,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,8.0,11.0,2023-06-19 15:17:02
84,14719,14719,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,7,25.0,7.0,2023-06-19 11:57:28
131,14672,18878,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,8,4.0,8.0,2023-06-20 12:37:02
