,user_id,for_user,limiting_member,CROSTACEI_E_MOLLUSCHI,FUNGHI,FORMAGGI,VERDURE,PESCE,RISO,PASTA,INTERIORA,LEGUMI,TORTELLINI,GNOCCHI,CARNE,PIZZA,SALUMI,revision_number,avialble_before,avialble_after,user_available_before,user_available_after,time
182,14708,16872,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,24,-1,,,
203,14708,16923,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,7,7,,,
123,14672,18817,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,7,7,7.0,7.0,2023-06-20 11:53:45
64,14710,14710,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,27,30,27.0,30.0,2023-06-16 13:22:44
124,14672,18817,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,7.0,7.0,2023-06-20 11:53:59
199,14708,16923,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,31,24,-1,24,,,
240,14657,17761,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,11,8,-1,8,,,
15,14906,16652,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,23,10.0,10.0,2023-06-19 11:01:51
96,14719,16753,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,10.0,7.0,2023-06-19 12:11:12
146,14738,19309,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,28,27.0,27.0,2023-06-20 16:26:58
42,14806,17590,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,24.0,24.0,2023-06-19 15:58:40
0,14720,16014,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,11,4.0,4.0,2023-06-15 23:46:02
220,14784,17505,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,28,28,28,28,,,
181,14708,16872,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,24,24,,,
120,14713,18793,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,27,26.0,27.0,2023-06-20 11:33:37
104,14719,16848,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,25,26,17.0,17.0,2023-06-19 12:24:24
243,14657,17762,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,8,11,8,11,,,
192,14708,16869,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,,,
62,14691,17993,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,4.0,4.0,2023-06-19 21:33:32
61,14691,17994,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,6.0,6.0,2023-06-19 21:33:32
214,14708,17036,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,4,8,,,
55,14693,17808,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,18,22,12.0,12.0,2023-06-19 18:43:39
99,14719,16747,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,10,7.0,10.0,2023-06-19 12:11:49
1,14720,16014,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,11,11,4.0,4.0,2023-06-15 23:46:02
165,14911,16868,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,10,10,,,
189,14708,16870,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,,,
98,14719,16747,bytearray(b'0'),0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,7,7,7.0,7.0,2023-06-19 12:11:42
188,14708,16872,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,,,
179,14717,17232,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,-1,7,,,
143,14738,14738,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,26,-1.0,26.0,2023-06-20 16:26:58
147,14738,19310,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,27,24.0,24.0,2023-06-20 16:26:58
81,14662,18705,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,7.0,7.0,2023-06-20 10:29:55
222,14659,16051,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,7,7,,,
133,14672,18880,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,8,8,8.0,8.0,2023-06-20 12:37:30
95,14719,16753,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,10,7.0,10.0,2023-06-19 12:11:12
52,14693,17137,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,23,4.0,4.0,2023-06-19 13:45:19
12,14660,16534,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,8,27,4.0,4.0,2023-06-18 20:48:39
110,14719,18666,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,7,7.0,7.0,2023-06-20 09:49:20
170,14706,17050,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,,,
158,14773,16688,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,8,23,8,23,,,
157,14738,19344,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,27,-1.0,27.0,2023-06-20 16:40:07
63,14710,16253,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,27,27,27.0,27.0,2023-06-16 13:22:38
204,14708,16923,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,7,7,,,
150,14738,19342,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,27,-1.0,27.0,2023-06-20 16:39:36
105,14719,16849,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,26,26,26.0,26.0,2023-06-19 12:24:24
185,14708,16871,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,24,24,,,
31,14661,17517,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,4,-1.0,4.0,2023-06-19 15:17:04
101,14719,16747,bytearray(b'0'),0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-19 12:12:09
115,14713,18794,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,26,26,26.0,26.0,2023-06-20 11:33:23
178,14717,17231,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,,,
51,14693,17138,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,-1.0,4.0,2023-06-19 13:42:18
76,14662,18705,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,24,24,7.0,7.0,2023-06-20 10:29:02
211,14708,17038,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,27,7,-1,7,,,
187,14708,16872,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,31,24,-1,24,,,
212,14708,17038,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,7,24,7,7,,,
196,14708,14708,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,27,,,
16,14906,16653,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,19,-1.0,19.0,2023-06-19 11:02:45
235,14657,17660,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,27,,,
121,14672,18818,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,7,7.0,7.0,2023-06-20 11:53:25
228,14657,16045,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,,,
9,14660,16534,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,8,4.0,4.0,2023-06-18 20:46:00
232,14657,17659,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,,,
85,14719,14719,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,25,7.0,-1.0,2023-06-19 11:59:21
234,14657,17660,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,,,
87,14719,14719,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,25,7.0,-1.0,2023-06-19 12:00:39
241,14657,17761,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,8,11,8,8,,,
175,14706,17051,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,,,
91,14719,16753,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-19 12:11:11
66,14710,14710,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,31,30.0,31.0,2023-06-16 13:23:03
202,14708,16923,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,7,7,,,
93,14719,16753,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,10.0,7.0,2023-06-19 12:11:12
30,14661,17516,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,10,-1.0,10.0,2023-06-19 15:17:04
186,14708,16872,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,31,24,-1,24,,,
50,14693,17139,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,-1.0,4.0,2023-06-19 13:42:18
46,14806,17591,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,24,4.0,24.0,2023-06-19 16:01:20
74,14710,16253,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,30,30.0,30.0,2023-06-16 13:23:30
40,14806,17590,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,5,-1.0,5.0,2023-06-19 15:50:50
145,14738,19309,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,28,27.0,27.0,2023-06-20 16:26:58
114,14713,18793,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,26,27.0,26.0,2023-06-20 11:33:23
47,14806,17591,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,24.0,24.0,2023-06-19 16:01:20
18,14906,16661,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,23,26,7.0,7.0,2023-06-19 11:09:34
136,14672,19065,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,8,4.0,8.0,2023-06-20 14:53:34
6,14720,16453,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,24,27,24.0,24.0,2023-06-17 16:45:19
73,14710,16253,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,30,30.0,30.0,2023-06-16 13:23:24
13,14660,17620,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,25,4.0,4.0,2023-06-19 16:17:36
205,14708,16921,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,7,24,,,
29,14661,17518,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,8,11.0,8.0,2023-06-19 15:17:03
191,14708,16870,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,24,24,,,
221,14784,17505,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,,,
7,14748,14748,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,11,8.0,11.0,2023-06-16 15:39:07
195,14708,14708,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,,,
83,14662,18705,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,7.0,7.0,2023-06-20 10:30:08
149,14738,19345,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,27,-1.0,27.0,2023-06-20 16:39:36
119,14713,18793,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,27.0,27.0,2023-06-20 11:33:37
206,14708,16923,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,,,
160,14911,16868,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,31,10,-1,10,,,
44,14806,17591,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,24,24,24.0,24.0,2023-06-19 16:01:10
226,14659,16051,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,7,7,,,
33,14661,17518,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,8.0,8.0,2023-06-19 15:17:05
49,14693,17137,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,4,-1.0,4.0,2023-06-19 13:42:18
59,14691,17992,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,26,29,26.0,26.0,2023-06-19 21:33:32
148,14738,19311,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,27,26.0,26.0,2023-06-20 16:26:58
166,14911,16868,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,10,27,10,10,,,
86,14719,14719,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,7,-1.0,7.0,2023-06-19 11:59:29
213,14708,17037,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,,,
193,14708,16869,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,,,
102,14719,16747,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-19 12:12:16
132,14672,18879,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,8,8.0,8.0,2023-06-20 12:37:30
225,14659,16051,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,8,24,7,7,,,
137,14771,17444,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,11,27,11.0,27.0,2023-06-19 15:02:01
14,14660,17620,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,25,28,4.0,4.0,2023-06-19 16:17:36
140,14738,19310,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,24.0,24.0,2023-06-20 16:26:27
94,14719,16753,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-19 12:11:12
134,14672,14672,bytearray(b'1'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,8,24,8.0,24.0,2023-06-20 12:37:44
100,14719,16747,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-19 12:12:01
70,14710,14710,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,31,31.0,31.0,2023-06-16 13:23:11
97,14719,16747,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,10.0,7.0,2023-06-19 12:11:18
113,14713,18793,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,27.0,27.0,2023-06-20 11:33:09
216,14708,17148,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,,,
32,14661,17517,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,4.0,4.0,2023-06-19 15:17:04
176,14706,17051,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,,,
151,14738,19342,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,28,27.0,27.0,2023-06-20 16:39:51
60,14691,17994,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6.0,6.0,2023-06-19 21:33:32
25,14661,14661,bytearray(b'1'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,-1.0,4.0,2023-06-19 15:17:02
